TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,DRAFT_YEAR,SEASON,GAMES_PLAYED,MINUTES,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,TURNOVERS,FIELD_GOAL_PCT,THREE_POINT_PCT,FREE_THROW_PCT,HEIGHT_WO_SHOES_INCHES,HEIGHT_W_SHOES_INCHES,WINGSPAN_INCHES,STANDING_REACH_INCHES,PRA_PERMIN
14000,203919,Jordan,Adams,Jordan Adams,SG,75.5,76.75,208.8,82.0,102.0,10.8,8.5,7.5,2014,2014-15,30.0,8.3,3.1,0.9,0.5,0.5,0.2,0.5,0.407,0.4,0.609,75.5,76.75,82.0,102.0,0.5421686746987951
14001,203937,Kyle,Anderson,Kyle Anderson,SF,79.5,80.5,230.1,86.75,107.5,13.35,8.25,8.75,2014,2014-15,33.0,10.8,2.2,2.2,0.8,0.5,0.2,0.3,0.348,0.273,0.643,79.5,80.5,86.75,107.5,0.48148148148148145
14002,203648,Thanasis,Antetokounmpo,Thanasis Antetokounmpo,SF,77.25,78.25,205.2,84.0,104.5,6.05,9.0,9.75,2014,2014-15,2.0,3.0,3.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,77.25,78.25,84.0,104.5,1.1666666666666667
14005,203946,Cameron,Bairstow,Cameron Bairstow,PF,80.75,81.75,252.4,84.75,107.0,8.7,8.75,9.0,2014,2014-15,18.0,3.6,0.6,0.4,0.1,0.1,0.1,0.2,0.214,0.0,0.8,80.75,81.75,84.75,107.0,0.3055555555555556
14006,203920,Khem,Birch,Khem Birch,PF,79.5,81.25,208.8,85.0,107.0,6.0,9.0,8.5,2014,2014-15,42.0,13.8,4.2,4.3,0.8,0.4,0.5,0.5,0.54,0.0,0.689,79.5,81.25,85.0,107.0,0.6739130434782609
14008,203900,Markel,Brown,Markel Brown,SG,74.5,75.5,184.4,80.75,100.0,4.2,8.25,9.75,2014,2014-15,47.0,16.6,4.6,2.3,0.8,0.7,0.3,0.6,0.362,0.266,0.825,74.5,75.5,80.75,100.0,0.4638554216867469
14007,203913,Jabari,Brown,Jabari Brown,SG,75.0,76.25,201.9,80.25,100.0,6.05,9.0,9.25,2014,2014-15,19.0,29.9,11.9,1.9,2.1,0.6,0.1,1.7,0.412,0.371,0.753,75.0,76.25,80.25,100.0,0.5317725752508362
14011,203902,Semaj,Christon,Semaj Christon,PG,73.5,75.25,186.0,78.5,99.0,5.25,8.5,8.25,2014,2014-15,64.0,15.2,2.9,1.4,2.0,0.4,0.1,0.7,0.345,0.19,0.548,73.5,75.25,78.5,99.0,0.4144736842105263
14012,203903,Jordan,Clarkson,Jordan Clarkson,PG,75.25,77.0,186.3,80.0,98.0,4.3,8.25,9.0,2014,2014-15,59.0,25.0,11.9,3.2,3.5,0.9,0.2,1.6,0.448,0.314,0.829,75.25,77.0,80.0,98.0,0.7440000000000001
14015,203915,Spencer,Dinwiddie,Spencer Dinwiddie,PG,76.5,78.0,204.9,80.25,103.0,5.35,8.25,9.0,2014,2014-15,34.0,13.4,4.3,1.4,3.1,0.6,0.2,1.0,0.302,0.185,0.912,76.5,78.0,80.25,103.0,0.6567164179104477
14016,203921,Cleanthony,Early,Cleanthony Early,SF,78.0,79.25,209.4,82.75,101.5,4.45,8.5,9.0,2014,2014-15,39.0,16.6,5.4,2.5,0.9,0.6,0.3,1.0,0.355,0.262,0.75,78.0,79.25,82.75,101.5,0.5301204819277109
14019,203898,Tyler,Ennis,Tyler Ennis,PG,73.0,74.5,181.5,79.25,98.0,6.2,8.25,8.75,2014,2014-15,8.0,7.3,2.8,0.9,1.8,0.0,0.3,1.0,0.429,0.333,1.0,73.0,74.5,79.25,98.0,0.7534246575342466
14020,203957,Dante,Exum,Dante Exum,SG,76.5,78.0,196.3,81.5,103.0,6.4,8.5,9.5,2014,2014-15,82.0,22.2,4.8,1.6,2.4,0.5,0.2,1.4,0.349,0.314,0.625,76.5,78.0,81.5,103.0,0.39639639639639646
14022,203932,Aaron,Gordon,Aaron Gordon,PF,79.5,80.75,220.1,83.75,105.0,5.05,8.75,10.5,2014,2014-15,47.0,17.0,5.2,3.6,0.7,0.4,0.5,0.8,0.447,0.271,0.721,79.5,80.75,83.75,105.0,0.5588235294117647
14023,203924,Jerami,Grant,Jerami Grant,SF,78.5,79.75,214.0,86.75,107.0,3.75,9.25,9.25,2014,2014-15,65.0,21.2,6.3,3.0,1.2,0.6,1.0,1.3,0.352,0.314,0.591,78.5,79.75,86.75,107.0,0.49528301886792453
14024,203798,P.J.,Hairston,P.J. Hairston,SG,76.25,77.25,228.8,81.0,101.0,8.2,8.75,9.75,2014,2014-15,45.0,15.3,5.6,2.0,0.5,0.5,0.3,0.5,0.323,0.301,0.861,76.25,77.25,81.0,101.0,0.5294117647058824
14025,203914,Gary,Harris,Gary Harris,SG,74.5,76.5,204.8,78.75,96.0,4.55,8.5,9.5,2014,2014-15,55.0,13.1,3.4,1.2,0.5,0.7,0.1,0.7,0.304,0.204,0.745,74.5,76.5,78.75,96.0,0.3893129770992366
14026,203925,Joe,Harris,Joe Harris,SG,76.75,78.25,215.0,78.0,100.0,6.2,8.5,9.75,2014,2014-15,51.0,9.7,2.7,0.8,0.5,0.1,0.0,0.5,0.4,0.369,0.6,76.75,78.25,78.0,100.0,0.4123711340206186
14027,203918,Rodney,Hood,Rodney Hood,SF,79.25,80.5,208.2,80.5,103.0,7.45,8.5,8.5,2014,2014-15,50.0,21.3,8.7,2.3,1.7,0.6,0.2,0.9,0.414,0.365,0.763,79.25,80.5,80.5,103.0,0.596244131455399
14028,203928,Cory,Jefferson,Cory Jefferson,PF,79.75,81.0,218.4,84.5,105.0,5.25,8.75,9.75,2014,2014-15,50.0,10.6,3.7,2.9,0.3,0.2,0.4,0.4,0.449,0.133,0.574,79.75,81.0,84.5,105.0,0.6509433962264151
14029,203910,Nick,Johnson,Nick Johnson,SG,73.5,75.0,198.0,79.25,96.5,6.05,8.75,9.75,2014,2014-15,28.0,9.4,2.6,1.4,0.4,0.3,0.1,0.7,0.347,0.238,0.68,73.5,75.0,79.25,96.5,0.46808510638297873
14031,203930,Sean,Kilpatrick,Sean Kilpatrick,SG,74.5,76.25,218.7,79.0,99.0,9.2,9.0,9.0,2014,2014-15,4.0,18.0,5.5,1.5,1.0,0.8,0.0,0.5,0.35,0.308,1.0,74.5,76.25,79.0,99.0,0.4444444444444444
14032,203945,Alex,Kirk,Alex Kirk,PF,81.25,82.75,252.0,87.5,109.5,13.6,9.25,10.5,2014,2014-15,5.0,2.8,0.8,0.2,0.2,0.0,0.0,0.0,0.25,0.0,1.0,81.25,82.75,87.5,109.5,0.4285714285714286
14033,203897,Zach,LaVine,Zach LaVine,PG,76.5,77.75,180.9,80.25,100.0,4.7,8.25,8.75,2014,2014-15,77.0,24.7,10.1,2.8,3.6,0.7,0.1,2.5,0.422,0.341,0.842,76.5,77.75,80.25,100.0,0.6680161943319838
14034,203906,Devyn,Marble,Devyn Marble,SG,77.0,78.5,192.4,81.0,102.0,6.9,8.25,8.5,2014,2014-15,16.0,13.0,2.3,1.9,1.1,0.6,0.1,0.6,0.318,0.182,0.313,77.0,78.5,81.0,102.0,0.40769230769230763
14039,203949,James,McAdoo,James McAdoo,PF,79.5,80.75,227.6,86.25,106.5,6.15,9.25,9.0,2014,2014-15,15.0,9.1,4.1,2.5,0.1,0.3,0.6,0.4,0.545,0.0,0.56,79.5,80.75,86.25,106.5,0.7362637362637362
14035,203909,K.J.,McDaniels,K.J. McDaniels,SF,76.5,78.0,195.6,83.25,102.0,4.45,8.75,9.75,2014,2014-15,52.0,25.4,9.2,3.8,1.3,0.8,1.3,2.0,0.399,0.293,0.756,76.5,78.0,83.25,102.0,0.5629921259842521
14036,203926,Doug,McDermott,Doug McDermott,SF,78.25,79.75,218.0,81.25,103.0,7.1,8.75,9.75,2014,2014-15,36.0,8.9,3.0,1.2,0.2,0.1,0.0,0.5,0.402,0.317,0.667,78.25,79.75,81.25,103.0,0.49438202247191015
14038,203895,Jordan,McRae,Jordan McRae,SG,75.75,77.25,179.4,84.5,104.0,5.2,8.75,8.5,2014,2014-15,7.0,11.7,5.3,1.1,1.4,0.4,0.0,0.9,0.423,0.273,0.8,75.75,77.25,84.5,104.0,0.6666666666666667
14040,203894,Shabazz,Napier,Shabazz Napier,PG,71.0,73.0,175.2,75.25,93.0,7.35,8.25,8.5,2014,2014-15,51.0,19.8,5.1,2.2,2.5,0.8,0.1,1.6,0.382,0.364,0.786,71.0,73.0,75.25,93.0,0.494949494949495
14041,203948,Johnny,O?Bryant III,Johnny O?Bryant III,PF,79.25,80.5,256.8,86.25,105.0,10.75,9.25,9.5,2014,2014-15,34.0,10.8,2.9,1.9,0.5,0.1,0.1,0.7,0.367,0.0,0.444,79.25,80.5,86.25,105.0,0.4907407407407407
14043,203934,Lamar,Patterson,Lamar Patterson,SG,76.0,77.25,226.0,83.0,101.0,10.75,9.0,9.25,2014,2014-15,35.0,11.3,2.4,1.4,1.1,0.3,0.1,0.7,0.35,0.245,0.727,76.0,77.25,83.0,101.0,0.4336283185840708
14044,203940,Adreian,Payne,Adreian Payne,PF,81.0,81.75,238.5,88.0,109.0,7.55,9.25,9.5,2014,2014-15,3.0,6.3,1.7,1.3,0.0,0.3,0.0,0.0,0.286,0.0,0.5,81.0,81.75,88.0,109.0,0.4761904761904762
14045,203901,Elfrid,Payton,Elfrid Payton,PG,74.5,75.75,185.4,80.0,98.5,5.65,8.75,9.0,2014,2014-15,82.0,30.4,8.9,4.3,6.5,1.7,0.2,2.5,0.425,0.262,0.551,74.5,75.75,80.0,98.5,0.6480263157894737
14046,203939,Dwight,Powell,Dwight Powell,PF,81.5,83.0,234.4,84.5,105.0,6.2,9.0,9.25,2014,2014-15,5.0,1.8,1.8,0.2,0.0,0.4,0.0,0.4,0.8,0.0,0.5,81.5,83.0,84.5,105.0,1.1111111111111112
14047,203944,Julius,Randle,Julius Randle,PF,79.75,81.0,249.7,84.0,105.5,9.4,8.75,8.25,2014,2014-15,1.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,79.75,81.0,84.0,105.5,0.14285714285714285
14048,203922,Glenn,Robinson III,Glenn Robinson III,SF,77.5,78.75,211.4,82.0,100.5,5.05,9.0,9.5,2014,2014-15,25.0,4.3,1.2,0.6,0.1,0.1,0.0,0.1,0.333,0.167,0.75,77.5,78.75,82.0,100.5,0.4418604651162791
14050,203935,Marcus,Smart,Marcus Smart,PG,74.0,75.25,227.2,81.25,99.0,10.55,9.0,8.75,2014,2014-15,67.0,27.0,7.8,3.3,3.1,1.5,0.3,1.3,0.367,0.335,0.646,74.0,75.25,81.25,99.0,0.5259259259259259
14051,203893,Russ,Smith,Russ Smith,PG,71.5,72.75,160.0,75.5,95.0,3.5,8.25,8.5,2014,2014-15,6.0,4.8,0.8,0.5,0.3,0.0,0.0,1.2,0.2,0.167,0.0,71.5,72.75,75.5,95.0,0.33333333333333337
14052,203917,Nik,Stauskas,Nik Stauskas,SG,77.25,78.5,206.9,79.75,102.0,12.05,8.5,8.5,2014,2014-15,73.0,15.4,4.4,1.2,0.9,0.3,0.2,0.5,0.365,0.322,0.859,77.25,78.5,79.75,102.0,0.4220779220779221
14053,203950,Jarnell,Stokes,Jarnell Stokes,PF,79.0,80.5,262.8,85.25,103.5,8.2,9.75,10.5,2014,2014-15,19.0,6.6,3.0,1.8,0.2,0.3,0.3,0.4,0.568,0.0,0.536,79.0,80.5,85.25,103.5,0.7575757575757576
14055,203943,Noah,Vonleh,Noah Vonleh,PF,80.0,81.5,247.1,88.25,108.0,7.3,9.75,11.75,2014,2014-15,25.0,10.4,3.3,3.4,0.2,0.2,0.4,0.4,0.395,0.385,0.692,80.0,81.5,88.25,108.0,0.6634615384615384
14056,203933,T.J.,Warren,T.J. Warren,SF,79.0,80.25,220.2,82.25,104.0,7.95,8.75,9.0,2014,2014-15,40.0,15.4,6.1,2.1,0.6,0.5,0.2,0.7,0.528,0.238,0.737,79.0,80.25,82.25,104.0,0.5714285714285714
14058,203912,C.J.,Wilcox,C.J. Wilcox,SG,75.5,77.0,201.0,81.75,100.5,6.5,8.75,9.0,2014,2014-15,21.0,4.8,2.0,0.3,0.4,0.1,0.0,0.5,0.421,0.368,1.0,75.5,77.0,81.75,100.5,0.5625
14059,203923,James,Young,James Young,SG,77.25,78.75,213.3,84.0,104.0,5.1,9.0,9.5,2014,2014-15,31.0,10.7,3.4,1.4,0.4,0.3,0.1,0.2,0.353,0.258,0.552,77.25,78.75,84.0,104.0,0.485981308411215
15000,1626146,Cliff,Alexander,Cliff Alexander,PF-C,79.25,80.5,239.2,87.5,109.5,5.8,9.5,10.25,2015,2015-16,8.0,4.5,1.3,0.8,0.0,0.1,0.3,0.1,0.5,0.0,0.0,79.25,80.5,87.5,109.5,0.4666666666666667
15001,1626147,Justin,Anderson,Justin Anderson,SF-SG,77.25,78.25,230.6,83.75,101.0,5.0,8.5,9.5,2015,2015-16,55.0,11.8,3.8,2.4,0.5,0.3,0.5,0.4,0.406,0.265,0.8,77.25,78.25,83.75,101.0,0.5677966101694915
15004,1626164,Devin,Booker,Devin Booker,SG,76.5,77.75,205.8,80.25,102.5,8.3,8.75,9.0,2015,2015-16,76.0,27.7,13.8,2.5,2.6,0.6,0.3,2.1,0.423,0.343,0.84,76.5,77.75,80.25,102.5,0.6823104693140796
15005,1626148,Anthony,Brown,Anthony Brown,SF-SG,77.75,79.25,211.0,83.0,104.5,6.1,8.5,9.0,2015,2015-16,29.0,20.7,4.0,2.4,0.7,0.5,0.2,0.5,0.31,0.286,0.85,77.75,79.25,83.0,104.5,0.34299516908212563
15006,1626161,Willie,Cauley-Stein,Willie Cauley-Stein,C,83.25,84.5,242.4,87.0,111.0,6.3,9.5,9.0,2015,2015-16,66.0,21.4,7.0,5.3,0.6,0.7,1.0,0.7,0.563,0.0,0.648,83.25,84.5,87.0,111.0,0.602803738317757
15007,1626176,Rakeem,Christmas,Rakeem Christmas,PF-C,80.25,81.75,242.6,89.25,110.5,9.6,9.25,9.0,2015,2015-16,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80.25,81.75,89.25,110.5,0.8333333333333334
15008,1626192,Pat,Connaughton,Pat Connaughton,SG,76.0,77.25,215.0,80.0,96.0,10.2,8.5,9.25,2015,2015-16,34.0,4.2,1.1,0.9,0.3,0.1,0.0,0.3,0.265,0.238,1.0,76.0,77.25,80.0,96.0,0.5476190476190476
15009,1626188,Quinn,Cook,Quinn Cook,PG,72.25,74.0,179.0,76.0,96.5,6.7,7.5,8.75,2015,2015-16,5.0,15.4,5.4,0.6,2.4,0.2,0.0,1.6,0.44,0.357,0.0,72.25,74.0,76.0,96.5,0.5454545454545454
15010,1626183,Branden,Dawson,Branden Dawson,PF,77.5,78.75,230.2,83.0,105.0,5.8,9.0,8.75,2015,2015-16,6.0,4.8,0.8,0.7,0.0,0.0,0.2,0.0,0.4,0.0,1.0,77.5,78.75,83.0,105.0,0.3125
15012,1626155,Sam,Dekker,Sam Dekker,SF,79.75,81.0,218.6,83.5,106.0,7.5,8.5,9.25,2015,2015-16,3.0,2.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,79.75,81.0,83.5,106.0,0.15
15013,1626187,Michael,Frazier II,Michael Frazier II,SG,75.75,76.25,199.4,80.0,101.5,7.4,8.25,9.25,2015,2015-16,13.0,11.2,2.1,0.8,0.2,0.2,0.0,0.4,0.241,0.174,0.643,75.75,76.25,80.0,101.5,0.27678571428571436
15014,1626203,Treveon,Graham,Treveon Graham,SF,76.0,77.75,219.4,82.5,103.0,5.5,8.5,8.25,2015,2015-16,27.0,7.0,2.1,0.8,0.2,0.2,0.0,0.1,0.475,0.6,0.667,76.0,77.75,82.5,103.0,0.44285714285714295
15015,1626170,Jerian,Grant,Jerian Grant,PG,75.25,76.25,198.0,79.5,100.0,5.6,8.25,8.5,2015,2015-16,76.0,16.6,5.6,1.9,2.3,0.7,0.1,1.1,0.394,0.22,0.78,75.25,76.25,79.5,100.0,0.5903614457831325
15017,1626149,Montrezl,Harrell,Montrezl Harrell,PF,79.0,79.5,253.4,88.25,109.0,11.9,9.0,9.75,2015,2015-16,39.0,9.7,3.6,1.7,0.4,0.3,0.3,0.4,0.644,0.0,0.522,79.0,79.5,88.25,109.0,0.5876288659793815
15019,1626150,Andrew,Harrison,Andrew Harrison,PG,76.5,77.5,213.2,81.0,100.0,5.9,8.25,9.25,2015,2015-16,72.0,20.5,5.9,1.9,2.8,0.7,0.3,1.2,0.325,0.276,0.763,76.5,77.5,81.0,100.0,0.5170731707317073
15018,1626151,Aaron,Harrison,Aaron Harrison,SG,76.5,78.0,209.2,80.25,100.5,6.0,8.75,10.0,2015,2015-16,21.0,4.4,0.9,0.7,0.1,0.3,0.0,0.2,0.263,0.3,0.417,76.5,78.0,80.25,100.5,0.38636363636363635
15022,1626178,Rondae,Hollis-Jefferson,Rondae Hollis-Jefferson,SF,77.5,79.0,210.8,86.0,104.0,5.0,8.75,9.75,2015,2015-16,29.0,21.2,5.8,5.3,1.5,1.3,0.6,0.9,0.457,0.286,0.712,77.5,79.0,86.0,104.0,0.5943396226415094
15024,1626158,Richaun,Holmes,Richaun Holmes,PF,80.25,81.5,242.8,85.5,108.0,8.8,8.5,8.5,2015,2015-16,51.0,13.8,5.6,2.6,0.6,0.4,0.8,0.6,0.514,0.182,0.689,80.25,81.5,85.5,108.0,0.6376811594202898
15025,1626154,R.J.,Hunter,R.J. Hunter,SG,76.5,78.0,185.0,82.5,104.0,6.0,8.5,8.25,2015,2015-16,36.0,8.8,2.7,1.0,0.4,0.4,0.1,0.3,0.367,0.302,0.857,76.5,78.0,82.5,104.0,0.46590909090909094
15026,1626205,Vince,Hunter,Vince Hunter,PF,78.75,79.5,208.4,83.0,104.5,4.6,9.0,8.75,2015,2015-16,4.0,1.8,1.5,0.8,0.0,0.0,0.3,0.3,0.6,0.0,0.0,78.75,79.5,83.0,104.5,1.2777777777777777
15028,1626177,Dakari,Johnson,Dakari Johnson,C,83.0,83.75,264.6,86.0,112.0,14.9,9.25,10.5,2015,2015-16,31.0,5.2,1.8,1.1,0.3,0.2,0.3,0.1,0.564,0.0,0.55,83.0,83.75,86.0,112.0,0.6153846153846154
15029,1626169,Stanley,Johnson,Stanley Johnson,SF,77.0,78.5,241.8,83.5,102.0,7.5,9.0,9.0,2015,2015-16,73.0,23.1,8.1,4.2,1.6,0.8,0.2,1.6,0.375,0.307,0.784,77.0,78.5,83.5,102.0,0.6017316017316017
15030,1626145,Tyus,Jones,Tyus Jones,PG,72.5,74.0,184.6,77.0,97.0,6.5,8.25,8.75,2015,2015-16,37.0,15.5,4.2,1.3,2.9,0.8,0.1,0.9,0.359,0.302,0.718,72.5,74.0,77.0,97.0,0.5419354838709678
15031,1626163,Frank,Kaminsky,Frank Kaminsky,C-PF,83.75,84.75,231.2,83.0,109.5,9.4,8.5,9.5,2015,2015-16,81.0,21.1,7.5,4.1,1.2,0.5,0.5,0.7,0.41,0.337,0.73,83.75,84.75,83.0,109.5,0.6066350710900473
15032,1626172,Kevon,Looney,Kevon Looney,PF,80.0,81.25,222.4,87.5,110.0,11.9,9.5,9.25,2015,2015-16,5.0,4.2,1.8,2.0,0.0,0.0,0.0,0.2,0.571,0.5,0.0,80.0,81.25,87.5,110.0,0.9047619047619047
15033,1626168,Trey,Lyles,Trey Lyles,PF,81.0,82.25,241.2,85.5,108.0,12.1,9.25,10.25,2015,2015-16,80.0,17.3,6.1,3.7,0.7,0.3,0.2,0.8,0.438,0.383,0.695,81.0,82.25,85.5,108.0,0.6069364161849711
15034,1626185,Jarell,Martin,Jarell Martin,PF,80.0,81.25,238.6,81.0,106.5,10.1,8.25,9.5,2015,2015-16,27.0,14.1,5.7,3.2,0.6,0.3,0.3,0.7,0.466,0.0,0.726,80.0,81.25,81.0,106.5,0.6737588652482269
15035,204456,TJ,McConnell,TJ McConnell,PG,72.5,74.0,187.8,74.0,96.5,7.3,7.5,7.0,2015,2015-16,81.0,19.8,6.1,3.1,4.5,1.2,0.1,1.7,0.47,0.348,0.634,72.5,74.0,74.0,96.5,0.6919191919191918
15036,1626191,Chris,McCullough,Chris McCullough,PF,80.25,81.0,199.0,87.25,109.0,6.2,8.75,8.75,2015,2015-16,24.0,15.1,4.7,2.8,0.4,1.2,0.5,0.6,0.404,0.382,0.478,80.25,81.0,87.25,109.0,0.5231788079470199
15037,1626175,Jordan,Mickey,Jordan Mickey,PF,79.0,80.25,238.0,87.25,106.0,7.2,8.75,9.5,2015,2015-16,16.0,3.6,1.3,0.8,0.1,0.0,0.7,0.1,0.364,0.0,0.5,79.0,80.25,87.25,106.0,0.6111111111111112
15039,1626162,Kelly,Oubre,Kelly Oubre,SF-SG,77.75,78.75,202.8,86.25,102.5,5.7,9.0,8.75,2015,2015-16,63.0,10.7,3.7,2.1,0.2,0.3,0.1,0.5,0.427,0.316,0.633,77.75,78.75,86.25,102.5,0.560747663551402
15040,1626166,Cameron,Payne,Cameron Payne,PG,72.75,73.5,182.8,79.25,97.5,6.3,8.5,8.25,2015,2015-16,57.0,12.2,5.0,1.5,1.9,0.6,0.1,0.8,0.41,0.324,0.792,72.75,73.5,79.25,97.5,0.6885245901639345
15042,1626171,Bobby,Portis,Bobby Portis,PF,81.5,82.5,246.2,86.0,108.5,8.9,9.5,9.25,2015,2015-16,62.0,17.8,7.0,5.4,0.8,0.4,0.4,0.9,0.427,0.308,0.727,81.5,82.5,86.0,108.5,0.7415730337078652
15043,1626181,Norman,Powell,Norman Powell,SG,75.0,76.25,215.4,82.75,102.5,6.4,9.25,9.0,2015,2015-16,49.0,14.8,5.6,2.3,1.0,0.6,0.2,0.7,0.424,0.404,0.811,75.0,76.25,82.75,102.5,0.6013513513513512
15045,1626184,Chasson,Randle,Chasson Randle,PG,72.25,73.5,178.8,79.0,96.5,4.5,8.5,9.5,2015,2015-16,8.0,9.3,5.3,0.6,0.8,0.4,0.1,0.4,0.462,0.4,1.0,72.25,73.5,79.0,96.5,0.7204301075268816
15046,1626179,Terry,Rozier,Terry Rozier,PG-SG,72.5,74.25,190.2,80.25,98.5,5.6,8.25,8.5,2015,2015-16,39.0,8.0,1.8,1.6,0.9,0.2,0.0,0.5,0.274,0.222,0.8,72.5,74.25,80.25,98.5,0.5375000000000001
15047,1626156,D?Angelo,Russell,D?Angelo Russell,PG-SG,75.25,77.0,193.4,81.75,102.0,8.3,8.75,9.75,2015,2015-16,80.0,28.2,13.2,3.4,3.3,1.2,0.2,2.5,0.41,0.351,0.737,75.25,77.0,81.75,102.0,0.7056737588652482
15048,1626208,Keifer,Sykes,Keifer Sykes,PG,70.5,71.75,167.2,74.0,93.0,5.0,8.5,9.5,2015,2015-16,32.0,17.7,5.6,1.4,1.9,0.4,0.1,1.0,0.363,0.3,0.882,70.5,71.75,74.0,93.0,0.5028248587570622
15052,1626167,Myles,Turner,Myles Turner,C-PF,81.75,83.5,238.6,88.0,112.0,9.3,9.25,9.25,2015,2015-16,60.0,22.8,10.3,5.5,0.7,0.4,1.4,1.1,0.498,0.214,0.727,81.75,83.5,88.0,112.0,0.7236842105263158
15054,1626173,Rashad,Vaughn,Rashad Vaughn,SG,75.75,77.0,198.6,79.0,101.0,6.2,8.0,8.5,2015,2015-16,70.0,14.3,3.1,1.3,0.6,0.4,0.2,0.4,0.305,0.293,0.8,75.75,77.0,79.0,101.0,0.34965034965034963
